completed_at,ticker,feature_set,model_type,window_size,hidden_size,learning_rate,dropout,max_epochs,patience,seed,best_epoch,stopped_epoch,best_val_loss,best_val_RMSE,best_val_MAE,best_val_MAPE,test_loss,test_RMSE,test_MAE,test_MAPE,train_samples,validation_samples,test_samples,input_shape,device,best_model_path,output_dir
2026-03-27T20:25:29,MSFT,baseline,gru,60,128,0.0005,0.0,500,20,42,239,259,186.1601290021624,13.911166191101074,11.380393028259276,3.839468479156494,18627.88863118489,134.8236083984375,126.23220825195312,28.2135066986084,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202440_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_202440_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:26:21,MSFT,baseline,gru,60,128,0.0005,0.2,500,20,42,247,267,52.43975802830288,7.312644481658935,5.614827632904053,1.8671642541885376,27144.913397894965,155.9891815185547,128.39151000976562,27.858198165893555,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202529_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_202529_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:27:22,MSFT,baseline,gru,60,128,0.0005,0.4,500,20,42,300,320,69.96646336146763,8.49023723602295,6.487843990325928,2.1540749073028564,27117.793633355035,157.69454956054688,135.95846557617188,29.747148513793945,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202621_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_202621_MSFT_baseline_gru_w60_d0p4
2026-03-27T20:22:50,MSFT,baseline,gru,60,128,0.001,0.0,500,20,42,249,269,27.877334322248185,5.307116985321045,4.185510635375977,1.415140151977539,34258.1248304579,171.30543518066406,122.88198852539062,26.141151428222656,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202159_MSFT_baseline_gru_w60_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_202159_MSFT_baseline_gru_w60_d0p0
2026-03-27T20:23:39,MSFT,baseline,gru,60,128,0.001,0.2,500,20,42,237,257,38.1098940713065,6.2167816162109375,4.8641862869262695,1.6455755233764648,10476.216512044271,100.0795669555664,89.35865020751953,19.65074157714844,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202250_MSFT_baseline_gru_w60_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_202250_MSFT_baseline_gru_w60_d0p2
2026-03-27T20:24:40,MSFT,baseline,gru,60,128,0.001,0.4,500,20,42,296,316,47.02898134504046,6.917513370513916,5.351100921630859,1.795863151550293,10578.52921210395,100.61262512207033,89.99462890625,19.800466537475582,1912,212,548,"[60, 5]",cuda:0,_local/runs/grid_search_runs/20260327_202339_MSFT_baseline_gru_w60_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_202339_MSFT_baseline_gru_w60_d0p4
2026-03-27T19:05:56,MSFT,baseline,lstm,20,32,0.0005,0.0,500,20,42,498,500,55.728751046316965,7.42667818069458,5.890445709228516,1.9494421482086184,13390.626736111111,113.34577178955078,103.14998626708984,22.80209350585937,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190420_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_190420_MSFT_baseline_lstm_w20_d0p0
2026-03-27T19:07:35,MSFT,baseline,lstm,20,32,0.0005,0.2,500,20,42,500,500,169.4728181021554,13.075587272644045,10.342414855957031,3.329620122909546,16438.18485514323,125.80646514892578,116.71627044677734,25.952524185180664,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190557_MSFT_baseline_lstm_w20_d0p2/best_model.pt,_local/runs/grid_search_runs/20260327_190557_MSFT_baseline_lstm_w20_d0p2
2026-03-27T19:09:16,MSFT,baseline,lstm,20,32,0.0005,0.4,500,20,42,500,500,399.6934950692313,19.971460342407227,16.023178100585938,5.030954837799072,19433.896931966145,136.97879028320312,128.68276977539062,28.73104286193848,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190735_MSFT_baseline_lstm_w20_d0p4/best_model.pt,_local/runs/grid_search_runs/20260327_190735_MSFT_baseline_lstm_w20_d0p4
2026-03-27T19:01:39,MSFT,baseline,lstm,20,32,0.001,0.0,500,20,42,434,454,34.559471130371094,5.855215072631836,4.698024272918701,1.5929546356201172,10639.10755750868,100.80574798583984,89.16873168945312,19.55978012084961,1948,216,548,"[20, 5]",cuda:0,_local/runs/grid_search_runs/20260327_190011_MSFT_baseline_lstm_w20_d0p0/best_model.pt,_local/runs/grid_search_runs/20260327_190011_MSFT_baseline_lstm_w20_d0p0
